epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,13.29,18.09,2.689429,2.671976,0.17453,0.0
2,25.0,19.57,1.966095,1.954757,0.113386,0.0
3,30.34,33.78,1.853445,1.846258,0.071869,0.0
4,36.51,38.95,1.697239,1.689802,0.07437,0.0
5,41.44,40.01,1.568457,1.56147,0.069869,0.0
6,45.26,44.04,1.485756,1.47929,0.064663,0.0
7,49.43,49.76,1.37064,1.364252,0.063878,0.0
8,52.56,53.66,1.282451,1.276456,0.059957,0.0
9,56.22,56.35,1.202206,1.19619,0.060156,0.0
10,58.83,58.13,1.132521,1.12662,0.059016,0.0
