epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,22.456,34.62,2.107718,2.107718,0.0,0.0
2,42.512,43.99,1.539893,1.539893,0.0,0.0
3,55.748,57.79,1.218904,1.218904,0.0,0.0
4,64.064,63.93,1.005855,1.005855,0.0,0.0
5,70.196,62.63,0.845208,0.845208,0.0,0.0
6,75.144,74.91,0.71826,0.71826,0.0,0.0
7,78.348,73.06,0.623593,0.623593,0.0,0.0
8,80.6,77.07,0.561258,0.561258,0.0,0.0
9,82.628,78.21,0.501889,0.501889,0.0,0.0
10,84.198,81.44,0.456565,0.456565,0.0,0.0
11,85.846,83.71,0.41168,0.41168,0.0,0.0
12,87.292,84.18,0.367695,0.367695,0.0,0.0
13,88.684,87.04,0.327407,0.327407,0.0,0.0
14,90.102,86.68,0.285787,0.285787,0.0,0.0
15,91.784,88.23,0.240137,0.240137,0.0,0.0
16,93.214,89.58,0.198782,0.198782,0.0,0.0
17,94.59,90.1,0.159626,0.159626,0.0,0.0
18,95.798,91.05,0.125839,0.125839,0.0,0.0
19,96.6,91.85,0.104418,0.104418,0.0,0.0
20,97.112,92.15,0.091194,0.091194,0.0,0.0
