epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,19.4,20.71,2.55566,2.55566,0.914994,0.0
2,29.32,30.37,1.927747,1.874082,0.32199,0.0
3,34.57,39.92,1.775326,1.745382,0.089832,0.0
4,39.83,38.74,1.659243,1.634638,0.04921,0.0
5,43.16,47.17,1.549143,1.532572,0.033143,0.0
6,48.23,49.79,1.417927,1.404115,0.027624,0.0
7,51.78,51.87,1.326443,1.314111,0.024665,0.0
8,55.89,53.71,1.218206,1.207198,0.022017,0.0
9,58.62,57.4,1.137928,1.12753,0.020796,0.0
10,61.11,59.79,1.07794,1.067889,0.020101,0.0
