epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,22.918,36.6,2.165856,2.165856,0.685616,0.0
2,44.318,48.97,1.509406,1.503385,0.301054,0.0
3,57.046,63.11,1.196814,1.191715,0.127468,0.0
4,66.198,67.25,0.958392,0.954015,0.07295,0.0
5,72.668,71.3,0.784384,0.781012,0.042143,0.0
6,76.856,75.26,0.667743,0.665296,0.02447,0.0
7,79.596,78.47,0.590121,0.588597,0.01524,0.0
8,81.362,79.83,0.540064,0.539007,0.01057,0.0
9,83.098,80.46,0.488698,0.487906,0.007916,0.0
10,84.92,82.02,0.439658,0.439034,0.006242,0.0
11,86.384,82.56,0.396186,0.395643,0.005431,0.0
12,87.706,82.12,0.358225,0.357767,0.00458,0.0
13,88.96,84.3,0.318837,0.318427,0.004106,0.0
14,90.49,86.73,0.277357,0.276987,0.003702,0.0
15,92.08,88.15,0.233114,0.232795,0.00319,0.0
16,93.316,89.78,0.194764,0.194486,0.00278,0.0
17,94.634,90.46,0.155533,0.155273,0.0026,0.0
18,95.786,91.33,0.1246,0.124356,0.002433,0.0
19,96.818,91.69,0.098047,0.097814,0.00233,0.0
20,97.19,91.85,0.087558,0.087328,0.0023,0.0
