epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,18.33,23.35,2.578857,2.573574,0.528312,0.0
2,24.81,26.98,1.936359,1.931415,0.494475,0.0
3,32.43,27.27,1.763916,1.759493,0.442315,0.0
4,37.32,37.11,1.655562,1.651654,0.390806,0.0
5,42.99,46.52,1.538442,1.53504,0.340137,0.0
6,47.77,47.13,1.421422,1.418444,0.297823,0.0
7,52.72,51.6,1.297654,1.294931,0.272288,0.0
8,56.18,56.16,1.213391,1.210955,0.2436,0.0
9,59.72,59.5,1.117936,1.115726,0.221025,0.0
10,62.25,60.71,1.04877,1.046616,0.215374,0.0
.0
